"FID","FID.1","mean","sd","skewness","kurtosis"
"277",277,0.570961007794762,0.082940880550534,-0.537511385601246,0.27636893460015
"278",278,0.561389200260608,0.0960237827304832,-0.351910162741988,-0.106148827328574
"279",279,0.591648364501536,0.0885393350983139,-0.68813526192031,0.220973524885728
"280",280,0.516433185630512,0.092567923309251,-0.223154575679512,-0.284623568052856
"281",281,0.510079729843962,0.150818446925357,-0.336758960597239,-0.985844901354882
"282",282,0.591044996106869,0.114183865431012,-0.534810418806557,-0.336595818988463
"283",283,0.449323802733885,0.119369596818912,0.0231745228141465,-0.801016656438811
"284",284,0.532770457120809,0.105342268490418,-0.387852524778205,-0.260641698814815
"285",285,0.472171991831376,0.107344439739225,-0.167748417780194,-0.576614513027502
"286",286,0.565632782881308,0.0818238868397613,-0.433999909677858,-0.149879691708212
"287",287,0.467576582075447,0.0968892154635975,-0.0463562438541498,-0.668093039883792
"288",288,0.476881591641053,0.0933914005217741,-0.337276806523447,-0.220266162578263
"289",289,0.530385021961888,0.0961505414138239,-0.175457998021452,-0.504837820636529
"290",290,0.471847939940131,0.0999841428598226,-0.203204584075767,-0.282661351229873
"291",291,0.499112018112409,0.112850907252035,-0.30315643401434,-0.667455039006058
"292",292,0.445605982951563,0.124931849251429,0.0202999011115945,-0.814391438539673
"293",293,0.596212123982008,0.0806725887631164,-0.500119551661626,0.131951746434513
"294",294,0.583594906905771,0.0808137034262227,-0.566995020162288,0.486644365804411
"295",295,0.43932087071332,0.0903449987908831,-0.0981520893078082,-0.402780406547366
"296",296,0.490609927230348,0.0968976213099225,-0.146268162902476,-0.567040065228076
"297",297,0.633479714395725,0.0927672400790993,-0.706366934177345,0.685675412033509
"298",298,0.454382730873387,0.125323233524213,-0.211774652572798,-0.659567380978549
"299",299,0.483205610210209,0.0999814818957745,-0.177139204597899,-0.554386740101836
"300",300,0.475707312857973,0.0973966478321144,-0.144659214638142,-0.452004521893302
"301",301,0.46626658806557,0.0882506807887969,-0.149181081440974,-0.423218709438823
"302",302,0.383027095497605,0.0892775998601327,0.227369493312609,-0.345515454019801
"303",303,0.420053872168304,0.132955203034411,0.205209305347647,-1.02820529869891
"304",304,0.382941463197564,0.104431859854453,0.257973891976908,-0.617182232174602
"305",305,0.45044198646437,0.114050253487187,-0.103497292493539,-0.759793552667765
"306",306,0.454438681554939,0.117868615304977,-0.0405669957638942,-0.66285989103386
"307",307,0.543381492160604,0.121808288944052,-0.476538757771175,-0.547192801726314
"308",308,0.664166615114864,0.0643993034388273,-0.546425887553301,0.557125883261946
"309",309,0.432939721015853,0.147591077328182,0.116762123005732,-0.991456017332264
"310",310,0.612925064308155,0.0979799732667773,-0.143879686698556,-0.45889603396409
"311",311,0.561355973993921,0.093161289204918,-0.373381492308271,-0.340988085198446
"312",312,0.606557841962674,0.0885804171807706,-0.502514603662165,0.210132193109515
"313",313,0.46598149011899,0.0995496173783314,0.0556764684889244,-0.468646239687459
"314",314,0.646175131870686,0.0831442299740967,-0.83513742735243,0.861051947560994
"315",315,0.652916810343826,0.0745431078887381,-0.884544294399728,0.934215293925714
"316",316,0.657274154518324,0.103129664854187,-0.771574590151622,0.148733351546797
"317",317,0.610105746235315,0.0834359654320754,-0.565062654581838,0.175520370918343
"318",318,0.696724476658564,0.0670650847871485,-0.62814762647327,0.301105353185247
"319",319,0.56805515282218,0.102342434366076,-0.61884905999956,0.0196895226771527
"320",320,0.661005759582878,0.100311757390104,-0.649064091698693,0.179916292288629
"321",321,0.437768125196255,0.141222983885309,-0.222565317677908,-0.74994398034659
"322",322,0.623994528316592,0.114086379077415,-0.563457627228412,-0.0661025506443806
"323",323,0.52902096056429,0.108062447439049,-0.235838195054767,-0.454203199891708
"324",324,0.663480443322137,0.0927159211478905,-0.84338672631182,0.72234799555513
"325",325,0.540188435586295,0.107689075824429,-0.280411601803461,-0.288043406663266
"326",326,0.656132131309506,0.0824076688870061,-1.27260990439067,2.54543653024113
"327",327,0.592263954035415,0.0878118641748666,-0.476167767645314,-0.196250126178752
"328",328,0.585011499864289,0.109623377715393,-0.399620234932363,-0.374048466085933
"329",329,0.505505861196236,0.108353216751415,-0.13208090493915,-0.657824683632827
"330",330,0.49599245818852,0.109235173463408,-0.041670694053412,-0.631196337765223
"331",331,0.553970314398369,0.0924451387319734,-0.258492466320194,-0.430537843798877
"332",332,0.512445762426267,0.123716730061409,-0.294127958087967,-0.768872480802238
"333",333,0.652489409220899,0.0762678846520513,-0.617150998415683,0.190612654657002
"334",334,0.55301612890701,0.102165840823961,-0.0671721119461964,-0.51816505511724
"335",335,0.53878174169138,0.0917318953872519,-0.33083781483511,-0.349212395576099
"336",336,0.47366741092574,0.0834740062943787,-0.115280592936367,-0.363798221965723
"337",337,0.570161175597244,0.105180256116068,-0.363375080618671,-0.280103193763142
"338",338,0.573230902423618,0.0872582725596729,-0.377992801333624,0.0230014091846051
"339",339,0.631619393567739,0.0798135354122115,-0.783284370574024,0.732472474740721
"340",340,0.606886571311688,0.0908377275439538,-0.585581382021235,0.0832724401042859
"341",341,0.527188970243435,0.0891932639036382,-0.208262983933091,-0.391080388252763
"342",342,0.548890935245106,0.107089941999559,-0.657981782442723,0.272346635456031
"343",343,0.503358402374226,0.149037507128321,-0.36795339907564,-0.594750258718208
"344",344,0.64024809159304,0.0929735729011712,-0.475385265541628,-0.069193909463789
"345",345,0.567277102023424,0.0906804922677764,-0.52197426237664,0.00559258688591413
"346",346,0.526844352863186,0.103021064045295,-0.504547347061499,-0.0431615759328272
"347",347,0.572966491084492,0.0941124623845022,-0.442683183249497,0.130256798639699
"348",348,0.490333996613324,0.0904568516558416,-0.140149651670599,-0.315353159229057
"349",349,0.539298346370657,0.0806674470662638,-0.332562567722454,-0.232371942590703
"350",350,0.562347107813521,0.0909472182387002,-0.290889348435805,-0.411474693443546
"351",351,0.474151903631729,0.097952007783592,-0.177136437307338,-0.412558687301303
"352",352,0.533535372773072,0.126560768539051,-0.273359858894431,-0.659953121554728
